,id,lat,lon
2387,301196362,9,52
2395,301196453,9,51
2405,301196511,10,48
2407,301196524,10,49
2424,301196736,10,46
2473,301197371,9,48
2513,301197818,9,49
2535,301197971,9,50
2631,301201255,13,52
2637,301201755,12,52
2639,301201865,12,53
2640,301202012,12,54
2641,301202120,13,54
2642,301202153,13,53
2645,301202506,13,55
2660,301203329,12,47
2661,301203524,12,48
2664,301203773,12,46
2666,301204202,12,49
2672,301204615,12,51
2673,301204654,13,50
2674,301204755,12,50
2678,301204945,13,51
2684,301205165,13,49
2685,301205194,13,48
2688,301205358,10,52
2702,301206007,11,52
2711,301206082,10,51
2712,301206085,11,51
2733,301206398,11,50
2744,301207119,11,49
2745,301207184,11,48
2762,301207753,11,47
2769,301207798,11,46
2780,301207917,11,45
2815,301208187,10,50
2863,301208689,9,53
2972,301214703,10,53
2999,302293097,20,7
3024,303417429,8,50
3048,303417741,8,49
3068,303418262,8,47
3069,303418280,7,46
3072,303418317,8,46
3073,303418329,7,47
3086,303418522,8,48
3124,303418843,7,43
3125,303418844,7,44
3161,303419656,7,45
3182,303420251,7,42
3188,303420284,8,42
3231,303427456,6,40
3236,303428938,5,36
3241,303429134,5,37
3262,303429550,5,40
3266,303430056,5,38
3280,303430180,7,41
3281,303430202,6,41
3287,303430266,5,39
3348,303431320,8,41
3386,303431974,5,34
3394,303432077,5,35
3396,303432160,4,35
3433,303432878,6,39
3443,303433144,4,37
3481,303434527,4,36
3514,303435929,4,21
3526,303437601,6,42
3541,304357567,4,22
3543,304359486,3,22
3639,304445852,2,22
3680,305639213,6,48
3683,305811308,5,21
3690,305811713,5,20
3693,305811820,5,22
3753,305834558,5,23
3929,308074490,6,20
3930,308074508,6,22
3931,308074534,6,21
4063,308261584,7,21
4066,308261722,7,20
4077,308265613,7,22
4291,308559771,8,21
4295,308562155,8,22
4331,308583107,8,20
4373,308700750,6,24
4474,317863917,9,20
4521,317869637,8,19
4592,317923904,10,20
4595,317924079,10,21
4620,317925000,10,19
4749,317960612,11,19
4751,317960642,11,21
4759,317960775,11,22
4775,317961384,11,20
4845,317968022,10,18
5004,318176399,12,17
5005,318178659,12,20
5217,318511978,13,19
5353,318784348,14,18
5437,319696208,15,17
5465,321270107,15,11
5570,321532096,18,0
5574,324235536,19,4
5576,331486838,22,6
5579,331486897,22,7
5591,331486992,22,8
5602,331487066,22,9
5607,331487090,22,10
5618,331487140,22,11
5629,331487255,22,12
5641,331487461,22,13
5653,331487705,21,14
5655,331487713,22,14
5671,331488195,21,13
5683,331488384,21,12
5698,331488928,21,11
5702,331488968,20,11
5723,331490600,19,5
5733,331490874,19,6
5744,331491103,19,3
5763,331491503,18,1
5792,331492358,17,0
5966,331499613,11,0
